施設名,部屋名,都道府県,市区町村,番地以下,URL,分類,最寄駅,最寄駅徒歩[分],舞台奥行[m],舞台幅[m],客席数[人],利用料(目安),駐車場,ピアノ有無,譜面台貸出,親子室,予約期間（いつから）,予約期間（いつまで）,経度,緯度,備考
八尾市文化会館プリズムホール,,大阪府,八尾市,,,コンサートホール,,,,,,,,〇,〇,,,,135.606772,34.6289581,
文化パルク城陽,,京都府,城陽市,,,コンサートホール,,,,,,,,〇,〇,,,,135.773536,34.849245,
兵庫県立芸術文化センター,,兵庫県,西宮市,,,コンサートホール,,,,,,,,〇,〇,,,,135.355807,34.743585,
豊中市立ローズ文化ホール,,大阪府,豊中市,,,コンサートホール,,,,,,,,,,,,,135.4742045,34.7541708,
豊中市立文化芸術センター,,大阪府,豊中市,,,コンサートホール,,,,,,,,,,,,,135.4693681,34.7700603,
豊能町立ユーベルホール,,大阪府,豊能町,,,コンサートホール,,,,,,,,,,,,,135.4420281,34.9015866,
箕面市立メイプルホール,,大阪府,箕面市,,,コンサートホール,,,,,,,,,〇,,,,135.4716171,34.831191,
明石市民会館,,兵庫県,明石市,,,コンサートホール,,,,,,,,,,,,,134.9986488,34.643857,
門真市民文化会館ルミエールホール,,大阪府,門真市,,,コンサートホール,,,,,,,,,,,,,135.593022,34.737193,
野洲文化ホール,,滋賀県,野洲市,,,コンサートホール,,,,,,,,,,,,,136.02092,35.066895,
弥生の風ホール,,大阪府,,,,コンサートホール,,,,,,,,,,,,,135.456627,34.4579776,
龍谷大学 響都ホール 校友会館,,京都府,京都市,,,コンサートホール,,,,,,,,,,,,,135.7602962,34.9835601,
